Genus
Abortiporus
Afroboletus
Afrocantharellus
Afrocastellanoa
Agaricus
Agrocybe
Albatrellopsis
Albatrellus
Alessioporus
Aleuria
Aleurodiscus
Alloclavaria
Amanita
Amanitina
Amaropostia
Amauroderma
Ampulloclitocybe
Amylosporus
Anthracophyllum
Antrodia
Aphroditeola
Apioperdon
Arachnion
Armillaria
Arrhenia
Artomyces
Ascoclavulina
Ascocoryne
Aspropaxillus
Asterophora
Astraeus
Atheniella
Atractosporocybe
Aureoboletus
Auricularia
Auriscalpium
Austroboletus
Baeospora
Bankera
Baorangia
Bisporella
Bjerkandera
Bolbitius
Boletellus
Boletinellus
Boletinus
Boletopsis
Boletus
Bondarzewia
Bonomyces
Bothia
Bovista
Bovistella
Brunneoporus
Buchwaldoboletus
Buglossoporus
Bulgaria
Butyriboletus
Byssomerulius
Calcipostia
Callistosporium
Caloboletus
Calocera
Calocybe
Caloscypha
Calostoma
Calvatia
Calyptella
Camarophyllus
Campanella
Campanophyllum
Cantharellula
Cantharellus
Catathelasma
Cellulariella
Ceraceomyces
Cercopemyces
Cerioporus
Cerrena
Cetraria
Chalciporus
Chamaemyces
Chiua
Chlorencoelia
Chlorociboria
Chlorophyllum
Choiromyces
Chroogomphus
Cibaomyces
Ciboria
Ciborinia
Circinaria
Cladonia
Clathrus
Clavaria
Clavariadelphus
Clavulina
Clavulinopsis
Climacocystis
Climacodon
Clitocella
Clitocybe
Clitocybula
Clitopaxillus
Clitopilus
Collybia
Coltricia
Coltriciella
Coniophora
Connopus
Conocybe
Cookeina
Coprinellus
Coprinopsis
Coprinus
Cordierites
Corditubera
Cordyceps
Coriolopsis
Corticium
Cortinarius
Cotylidia
Craterellus
Crepidotus
Crinipellis
Crocinoboletus
Cronartium
Crucibulum
Crucispora
Cryptoporus
Cudonia
Cudoniella
Cuphophyllus
Cyanoboletus
Cyathus
Cyclocybe
Cyclomyces
Cylindrobasidium
Cylindrosporus
Cymatoderma
Cyptotrama
Cystoagaricus
Cystoderma
Cystodermella
Cytidia
Cyttaria
Dacrymyces
Dacryopinax
Dactylosporina
Daedalea
Daedaleopsis
Daldinia
Deconica
Delastria
Dendrosphaera
Dentipellis
Dermoloma
Desarmillaria
Descolea
Dicephalospora
Dictyophora
Discina
Disciotis
Dissingia
Ditiola
Donadinia
Dumontinia
Earliella
Echinochaete
Echinoderma
Echinoporia
Elaphomyces
Elderia
Elmerina
Endophallus
Entocybe
Entoloma
Erythromyces
Exidia
Exobasidium
Favolaschia
Favolus
Fistulina
Fistulinella
Flammula
Flammulaster
Flammulina
Floccularia
Fomes
Fomitiporia
Fomitopsis
Fuligo
Fulvifomes
Funalia
Fuscoporia
Ganoderma
Gautieria
Geastrum
Geoglossum
Geopora
Gerhardtia
Gerronema
Gibellula
Gliophorus
Gloeocantharellus
Gloeophyllum
Gloeoporus
Gloeostereum
Gloioxanthomyces
Gomphidius
Gomphus
Grammothele
Grifola
Guepinia
Gymnopilus
Gymnopus
Gyrodon
Gyrodontium
Gyromitra
Gyroporus
Hapalopilus
Harrya
Hebeloma
Heimioporus
Helvella
Helvellosebacina
Hemileccinum
Hemistropharia
Henningsia
Hericium
Heterobasidion
Heterochaete
Heterotextus
Hohenbuehelia
Holtermannia
Holwaya
Homophron
Hortiboletus
Hourangia
Humaria
Humidicutis
Hydnangium
Hydnellum
Hydnodon
Hydnophlebia
Hydnopolyporus
Hydnoporia
Hydnotrya
Hydnum
Hydropus
Hygrocybe
Hygrophoropsis
Hygrophorus
Hymenochaete
Hymenochaetopsis
Hymenogaster
Hymenopellis
Hymenoscyphus
Hymenostilbe
Hypholoma
Hypomyces
Hypsizygus
Hysterangium
Ileodictyon
Imaia
Imleria
Imperator
Inflatostereum
Infundibulicybe
Inocybe
Inonotus
